,date,rcp_scenario,temp
4466,2052-11-27,rcp45,15.202915908775005
4467,2052-11-28,rcp45,15.327711294106544
4468,2052-11-29,rcp45,15.40613092285399
4469,2052-11-30,rcp45,15.443134306364634
4470,2022-11-1,rcp85,20.668154846769262
4471,2022-11-2,rcp85,20.65162664538879
4472,2022-11-3,rcp85,20.525400915049097
4473,2022-11-4,rcp85,19.713776788314842
4474,2022-11-5,rcp85,18.59135627878633
4475,2022-11-6,rcp85,17.566137461639986
4476,2022-11-7,rcp85,16.500805920581747
4477,2022-11-8,rcp85,15.883540770918891
4478,2022-11-9,rcp85,15.568398748203958
4479,2022-11-10,rcp85,15.599058735181886
4480,2022-11-11,rcp85,15.68544518557162
4481,2022-11-12,rcp85,15.73581544428766
4482,2022-11-13,rcp85,15.780472641371848
4483,2022-11-14,rcp85,15.909034957856191
4484,2022-11-15,rcp85,16.053636767882583
4485,2022-11-16,rcp85,16.168419872797106
4486,2022-11-17,rcp85,16.031301075799213
4487,2022-11-18,rcp85,15.354293001190989
4488,2022-11-19,rcp85,15.438994108967817
4489,2022-11-20,rcp85,15.577048269873238
4490,2022-11-21,rcp85,15.697691388443452
4491,2022-11-22,rcp85,15.891293613953591
4492,2022-11-23,rcp85,16.048017602254443
4493,2022-11-24,rcp85,16.28786434903593
4494,2022-11-25,rcp85,16.460583219663057
4495,2022-11-26,rcp85,16.61731365127375
4496,2022-11-27,rcp85,16.660815086279232
4497,2022-11-28,rcp85,16.531033586664744
4498,2022-11-29,rcp85,15.846793702751784
4499,2022-11-30,rcp85,15.204029527316333
4500,2027-11-1,rcp85,18.844818947946173
4501,2027-11-2,rcp85,17.666084318999808
4502,2027-11-3,rcp85,17.411636594170876
4503,2027-11-4,rcp85,17.24891187040475
4504,2027-11-5,rcp85,17.04511922014375
4505,2027-11-6,rcp85,16.972519621050033
4506,2027-11-7,rcp85,16.936102860286674
4507,2027-11-8,rcp85,17.06144070622226
4508,2027-11-9,rcp85,17.268604167262907
4509,2027-11-10,rcp85,17.383609478222414
4510,2027-11-11,rcp85,17.533454863128476
4511,2027-11-12,rcp85,17.7052571961264
4512,2027-11-13,rcp85,17.922984328826416
4513,2027-11-14,rcp85,18.161688610640418
4514,2027-11-15,rcp85,18.343746122239974
4515,2027-11-16,rcp85,18.468578196919307
4516,2027-11-17,rcp85,18.551090587133057
4517,2027-11-18,rcp85,18.62150675314269
4518,2027-11-19,rcp85,18.67003017357782
4519,2027-11-20,rcp85,18.690908728402388
4520,2027-11-21,rcp85,18.706891158389627
4521,2027-11-22,rcp85,18.746943172085242
4522,2027-11-23,rcp85,18.799945693113266
4523,2027-11-24,rcp85,18.82557946450218
4524,2027-11-25,rcp85,18.820369077671103
4525,2027-11-26,rcp85,18.798467313595168
4526,2027-11-27,rcp85,18.738022602777587
4527,2027-11-28,rcp85,17.817684668455442
4528,2027-11-29,rcp85,16.79980996862518
4529,2027-11-30,rcp85,16.790548663473245
4530,2032-11-1,rcp85,18.214467077922688
4531,2032-11-2,rcp85,18.327622751988976
4532,2032-11-3,rcp85,18.446278154479465
4533,2032-11-4,rcp85,18.526466818025437
4534,2032-11-5,rcp85,18.57517966447047
4535,2032-11-6,rcp85,17.85091280797779
4536,2032-11-7,rcp85,16.948283766506147
4537,2032-11-8,rcp85,17.051278855283574
4538,2032-11-9,rcp85,17.260308248522993
4539,2032-11-10,rcp85,17.504015138538588
4540,2032-11-11,rcp85,17.745314315312047
